api/file-based-routing.md|7|2|Configuration options
api/file-based-routing.md|34|3|`routesDirectory` (required)
api/file-based-routing.md|44|3|`generatedRouteTree` (required)
api/file-based-routing.md|56|3|`virtualRouteConfig`
api/file-based-routing.md|62|3|`routeFilePrefix`
api/file-based-routing.md|68|3|`routeFileIgnorePrefix`
api/file-based-routing.md|85|3|`routeFileIgnorePattern`
api/file-based-routing.md|91|3|`routeToken`
api/file-based-routing.md|105|3|`indexToken`
api/file-based-routing.md|118|3|`quoteStyle`
api/file-based-routing.md|127|3|`semicolons`
api/file-based-routing.md|136|3|`autoCodeSplitting`
api/file-based-routing.md|147|3|`disableTypes`
api/file-based-routing.md|155|3|`addExtensions`
api/file-based-routing.md|161|3|`disableLogging`
api/file-based-routing.md|167|3|`routeTreeFileHeader`
api/file-based-routing.md|181|3|`routeTreeFileFooter`
api/file-based-routing.md|191|3|`enableRouteTreeFormatting`
api/file-based-routing.md|197|3|`tmpDir`
framework/solid/quick-start.md|7|2|Using File-Based Route Generation
framework/solid/quick-start.md|11|3|Scaffolding Your First TanStack Router Project
framework/solid/quick-start.md|19|3|Manual Setup
framework/solid/quick-start.md|23|4|Install TanStack Router, Vite Plugin, and the Router Devtools
framework/solid/quick-start.md|28|1|or
framework/solid/quick-start.md|31|1|or
framework/solid/quick-start.md|34|1|or
framework/solid/quick-start.md|37|1|or
framework/solid/quick-start.md|41|4|Configure the Vite Plugin
framework/solid/quick-start.md|72|4|`src/routes/__root.tsx`
framework/solid/quick-start.md|97|4|`src/routes/index.tsx`
framework/solid/quick-start.md|115|4|`src/routes/about.tsx`
framework/solid/quick-start.md|129|4|`src/main.tsx`
framework/solid/quick-start.md|161|2|Using Code-Based Route Configuration
framework/solid/routing/file-based-routing.md|13|3|Configuration with Vite
framework/solid/guide/custom-link.md|36|2|`createLink` with third party libraries
framework/solid/guide/custom-link.md|40|3|Some Library example
framework/react/decisions-on-dx.md|17|2|TanStack Router's origin story
framework/react/decisions-on-dx.md|23|2|How does TanStack Router achieve this?
framework/react/decisions-on-dx.md|37|2|1. Why is the Router's configuration done this way?
framework/react/decisions-on-dx.md|98|2|2. Declaring the Router instance for type inference
framework/react/decisions-on-dx.md|154|2|3. Why is file-based routing the preferred way to define routes?
